Name	Latitude	Longitude	Elevation
BRITT_ON_CA	45.7833333	-80.5333333	184m	
BROUGHTON_ISLAND_NU_CA	67.537033	-63.8806166	253m	
BYRON_BAY_NU_CA	68.75378	-109.08184	82m	
CALLAGHAN_VALLEY_BC_CA	50.0647712	-123.1085971	523m	
CAMSELL_RIVER_NT_CA	65.2823372	-118.0035615	172m	
CAPE_RACE_NL_CA	46.6666667	-53.0666667	0m	
CAPE_YOUNG_NU_CA	68.95	-116.9666667	0m	
CARIBOU_ISLAND_ON_CA	47.357894	-85.8090016	190m	
CHESTERFIELD_INLET_NU_CA	63.346514	-90.736827	9m	
CHEVERY_QC_CA	50.466658	-59.62006	0m	
CHIBOUGAMAU_CHAPAIS_QC_CA	49.4690417	-76.2507655	296m	
CLINTON_BC_CA	51.0913889	-121.5866667	889m	
EAST-POINT_PE_CA	46.45	-62	15m	
EASTEND_CYPRESS_SK_CA	49.513911	-108.818631	908m	
EDDY_POINT_NS_CA	45.5196598	-61.2528703	3m	
ELBOW_SK_CA	51.1203148	-106.5969026	587m	
ENNADAI_LAKE_NU_CA	60.8778979	-101.2750841	311m	
GAGNON_QC_CA	51.8007599	-68.167205	433m	
GODERICH_ON_CA	43.7428345	-81.7138942	216m	
GRETNA_MB_CA	49.0079309	-97.5610512	253m	
GYPSUMVILLE_MB_CA	51.7688889	-98.6347222	259m	
HOPEDALE_NL_CA	55.457954	-60.211485	1m	
ILES_DE_LA_MADELEINE_QC_CA	47.3824101	-61.8843002	37m	
INVERNESS_NS_CA	46.2308276	-61.3043828	38m	
JENNY_LIND_ISLAND_NU_CA	68.7247585	-101.9346593	25m	
LAC_EON_QC_CA	51.851579	-63.275962	565m	
LAC_LA_BICHE_AB_CA	54.7696415	-111.972514	560m	
LONGSTAFF_BLUFF_NU_CA	68.933463	-75.280195	9m	
MACKAR_INLET_NU_CA	68.345131	-85.744358	17m	
MARYS_HARBOUR_NL_CA	52.3051896	-55.8374021	10m	
MISCOU_ISLAND_NB_CA	47.9604388	-64.5195165	3m	
MOUNT_FOREST_ON_CA	43.981093	-80.7358653	415m	
NAGAGAMI_ON_CA	46.310519	-79.461074	206m	
NICHOLSON_PENINSULA_NT_CA	69.9166667	-128.95	13m	
NITCHEQUON_QC_CA	53.1968889	-70.8829722	527m	
PEAWANUCK_ON_CA	54.9938942	-85.4277409	39m	
PELLY_BAY_NU_CA	68.534722	-89.825	4m	
PINCHER_CREEK_AB_CA	49.4863458	-113.9502548	1140m	
POINT_PETRE_ON_CA	43.83947	-77.15281	75m	
PORT_MENIER_QC_CA	49.818815	-64.352681	1m	
PUNTZI_MOUNTAIN_BC_CA	52.112568	-124.143841	915m	
QUAQTAQ_QC_CA	61.041724	-69.639923	27m	
RIVIERE-DU-LOUP_QC_CA	47.835957	-69.5359854	44m	
ROCKGLEN_SK_CA	49.1796599	-105.9510209	826m	
ROUYN_QC_CA	48.2342362	-79.0187836	293m	
SHEPHERD_BAY_NU_CA	68.795915	-93.418957	30m	
SIMCOE_ON_CA	42.8372632	-80.3040424	212m	
STATION_CCP_QC_CA	42.8372632	-80.3040424	212m	
STATION_LAC_DES_CYGNES_QC_CA	45.5110396	-73.2849107	18m	
ST_JOHN_NB_CA	45.2733153	-66.0633081	15m	
UPSALA_ON_CA	49.05	-90.4666667	487m	
URANIUM_CITY_SK_CA	59.5658333	-108.6144444	267m	
VERMILION_AB_CA	53.3540161	-110.8586257	618m	
WHISTLER_MOUNTAIN_BC_CA	50.0591666	-122.9569444	2179m	
CHARLO_NB_CA	47.9973611	-66.3184444	17m
COPPERMINE_NU_CA	67.8166667	-115.0666667	1m
GILLAM_MB_CA	56.3480277	-94.7091205	145m
KUUJJUAQ_QC_CA	58.102996	-68.418839	32m
PARENT_QC_CA	47.920763	-74.6235704	423m
PRINCE_GEORGE_BC_CA	53.9170641	-122.7496693	576m
ROBERTSON_LAKE_NU_CA	77.484985	-69.3866404	0m
ANTOFAGASTA_XX_CL	-23.65	-70.4	13m
ARICA_XX_CL	-23.6286595	-70.3960798	12m
BALBOA_XX_PA	8.95	-79.5666667	4m
BARRANQUILLA_XX_CO	10.980137	-74.8461899	23m
BELEM_XX_BR	-8.2681766	-35.9672139	551m
BELIZE_CITY_XX_BZ	17.6125008	-88.1046505	0m
BOGOTA_XX_CO	7.8947157	-72.5046141	302m
BRASILIA_XX_BR	-29.1764556	-51.2203232	774m
BRIDGETOWN_XX_BB	13.076576	-59.6013938	12m
CARACAS_XX_VE	10.9607129	-63.9204366	32m
CASTRIES_XX_LC	14.0753994	-60.9475999	6m
CAYENNE_XX_GF	3.8674818	-51.8192649	20m
CHICLAYO_XX_PE	-6.7679842	-79.7763741	46m
COCKBURN_TOWN_XX_TC	-6.7679842	-79.7763741	46m
COLON_XX_PA	9.1182042	-79.5625806	156m
FORT-DE-FRANCE_XX_MQ	14.6415738	-61.0513882	176m
FREEPORT_XX_BS	26.5284722	-78.6965833	9m
GEORGETOWN_XX_GY	6.813629	-58.1651834	5m
GODTHAB_XX_GL	64.1782074	-51.7276865	5m
GUANTANAMO_BAY_XX_CU	19.9831093	-75.1240611	12m
GUATEMALA_CITY_XX_GT	14.6133333	-90.5352778	1533m
GUAYAQUIL_XX_EC	-2.1241936	-79.591233	11m
HAVANA_XX_CU	23.0540698	-82.345189	93m
HUANCAYO_XX_PE	-12.052808	-75.2107114	3280m
ITAPETINGA_XX_BR	-15.6529749	-40.0580438	258m
KINGSTON_XX_JM	18.0250918	-76.8097525	63m
LA_PAZ_XX_BO	-17.3738378	-66.2377294	2575m
LIMA_XX_PE	-12.0320116	-76.9298705	336m
LLANO_DEL_HATO_XX_VE	8.7873682	-70.8704424	3587m
MANAGUA_XX_NI	12.0415689	-86.1902355	228m
MANAUS_XX_BR	-3.038474	-59.9959395	76m
MONTEGO_BAY_XX_JM	18.4666667	-77.9166667	17m
NASSAU_XX_BS	25.077393	-77.344666	12m
NATAL_XX_BR	-5.7908515	-35.2438474	4m
PANAMA_CITY_XX_PA	8.9833333	-79.5166667	12m
POINTE-A-PITRE_XX_GP	16.2676129	-61.527249	3m	
PORT-AU-PRINCE_XX_HT	18.6058614	-72.2808177	26m
PORT_OF_SPAIN_XX_TT	10.6500936	-61.5102279	11m
QUITO_XX_EC	-2.1852483	-79.8878772	10m
RIO_DE_JANEIRO_XX_BR	-22.8934669	-43.2139097	6m
SANTA_CRUZ_XX_BO	-17.3955281	-66.2826878	2556m
SANTO_DOMINGO_XX_DO	18.4824382	-69.9651766	62m
SAN_JOSE_XX_CR	10.0662999	-84.2478415	1123m
SAN_SALVADOR_XX_SV	13.6795017	-89.2139668	796m
SAO_PAULO_XX_BR	-23.5500	-46.6333	768m
SONDRESTROM_XX_GL	67.0095904	-50.7049942	39m
ST-PIERRE_ET_MIQUELON_XX_PM	67.0095904	-50.7049942	39m
ST_CROIX_XX_VI	17.7058446	-64.858516	52m	
ST_JOHNS_XX_AG	17.1248955	-61.844741	11m
ST_THOMAS_XX_VI	18.335361	-64.9534009	6m		
TALARA_XX_PE	-12.2305855	-76.9372222	117m
TEGUCIGALPA_XX_HN	15.4297234	-88.0045267	44m
THULE_XX_GL	77.484985	-69.3866404	0m
ABILENE_TX_US	32.4487364	-99.7331439	524m
